HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.attention_check_prompt,Input.attention_check_response,Input.attention_check_amt_idx,Input.0_prompt,Input.0_response,Input.0_amt_idx,Input.1_prompt,Input.1_response,Input.1_amt_idx,Input.2_prompt,Input.2_response,Input.2_amt_idx,Input.3_prompt,Input.3_response,Input.3_amt_idx,Input.4_prompt,Input.4_response,Input.4_amt_idx,Input.5_prompt,Input.5_response,Input.5_amt_idx,Input.6_prompt,Input.6_response,Input.6_amt_idx,Input.8_prompt,Input.8_response,Input.8_amt_idx,Input.9_prompt,Input.9_response,Input.9_amt_idx,Input.10_prompt,Input.10_response,Input.10_amt_idx,Answer.0_amt_idx,Answer.0_appropriateness,Answer.0_humanlikeness,Answer.0_info-content,Answer.10_amt_idx,Answer.10_appropriateness,Answer.10_humanlikeness,Answer.10_info-content,Answer.1_amt_idx,Answer.1_appropriateness,Answer.1_humanlikeness,Answer.1_info-content,Answer.2_amt_idx,Answer.2_appropriateness,Answer.2_humanlikeness,Answer.2_info-content,Answer.3_amt_idx,Answer.3_appropriateness,Answer.3_humanlikeness,Answer.3_info-content,Answer.4_amt_idx,Answer.4_appropriateness,Answer.4_humanlikeness,Answer.4_info-content,Answer.5_amt_idx,Answer.5_appropriateness,Answer.5_humanlikeness,Answer.5_info-content,Answer.6_amt_idx,Answer.6_appropriateness,Answer.6_humanlikeness,Answer.6_info-content,Answer.8_amt_idx,Answer.8_appropriateness,Answer.8_humanlikeness,Answer.8_info-content,Answer.9_amt_idx,Answer.9_appropriateness,Answer.9_humanlikeness,Answer.9_info-content,Answer.attention_check_amt_idx,Answer.attention_check_appropriateness,Answer.attention_check_humanlikeness,Answer.attention_check_info-content,Answer.comment,Approve,Reject
3HEADTGN2RKQG7VYU6JOCGH78TCVRH,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:20 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:20 PDT 2022,,,3E4GGUZ1TBKYIWIV6FVIXITBGY02KH,A1198W1SPF1R4,Submitted,Thu Jun 23 21:29:58 PDT 2022,Thu Jun 23 21:52:20 PDT 2022,Sun Jun 26 21:52:20 PDT 2022,,,,1342,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,51,A: I am dying from the heat.<br> B: Turn on the air conditioner.,I can't. I'm out of money.,44,"A: Is that the costume you made for the expo?<br> B: Yes, it is. I can't wait to wear it!<br> A: How long did it take you to make it?",It took me about two weeks to make it.,45,A: My parents are divorced.<br> B: So are mine.<br> A: Why did your parents get divorced?,I don't know.,46,A: Did you get invited to Wanda's party this Sunday?<br> B: I did. I even went shopping for a new outfit.<br> A: Did you also go shopping for a gift to bring?,No i really wasnt thinking we needed to bring a gift.,47,"A: I'm planning to return to China after graduation.<br> B: Why are you choosing to leave a foreign country? Many people are reluctant to leave the superior living environment abroad.<br> A: Well, I think personal development is much more important than simply having a superior living environment.<br> B: Yeah, China's developing so fast and development opportunities can be found almost in every corner of the country.<br> A: absolutely, many Chinese enterprises are going global, and they are in great need of excellent returnees to help them with their overseas business.",Do you know of any companies that are hiring? I would love to work abroad.,48,"A: From the looks of this house from the outside, I don't really think that I want to go inside.<br> B: From here, it does look like it could use a little work. Let's see what the interior looks like.",That's what she said.,49,"A: Have you ever flown on an airplane?<br> B: Yes, I've flown in planes many times.<br> A: Were you scared?","No, I have never flown a plane.",50,"A: How are you enjoying your evening?<br> B: I am enjoying it very much, thank you.<br> A: How did you come to meet the host?",I met the host through a friend of a friend.,52,"A: The bartender just gave the last call. Let's order another round, okay?<br> B: Sure, but let's get a pitcher this time We should be able to down it before they close.",That sounds like a good idea. I'll be right back.,53,A: My girlfriend's mom got mad at me at the dinner table.<br> B: Why was that?<br> A: I sprinkled salt and pepper on the food before I tasted it.,I did the same with pepper. My Boyfriend didn't even notice.,54,44,1,4,3,54,2,3,3,45,5,5,2,46,3,4,1,47,5,5,2,48,5,4,3,49,3,4,1,50,1,2,1,52,4,2,1,53,2,4,3,51,1,2,1,{},,
3HEADTGN2RKQG7VYU6JOCGH78TCVRH,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:20 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:20 PDT 2022,,,39PAAFCODPT6I66KOYTL0EDIW20TVO,A5BCSSPC180AG,Submitted,Thu Jun 23 09:29:55 PDT 2022,Thu Jun 23 09:32:41 PDT 2022,Sun Jun 26 09:32:41 PDT 2022,,,,166,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,51,A: I am dying from the heat.<br> B: Turn on the air conditioner.,I can't. I'm out of money.,44,"A: Is that the costume you made for the expo?<br> B: Yes, it is. I can't wait to wear it!<br> A: How long did it take you to make it?",It took me about two weeks to make it.,45,A: My parents are divorced.<br> B: So are mine.<br> A: Why did your parents get divorced?,I don't know.,46,A: Did you get invited to Wanda's party this Sunday?<br> B: I did. I even went shopping for a new outfit.<br> A: Did you also go shopping for a gift to bring?,No i really wasnt thinking we needed to bring a gift.,47,"A: I'm planning to return to China after graduation.<br> B: Why are you choosing to leave a foreign country? Many people are reluctant to leave the superior living environment abroad.<br> A: Well, I think personal development is much more important than simply having a superior living environment.<br> B: Yeah, China's developing so fast and development opportunities can be found almost in every corner of the country.<br> A: absolutely, many Chinese enterprises are going global, and they are in great need of excellent returnees to help them with their overseas business.",Do you know of any companies that are hiring? I would love to work abroad.,48,"A: From the looks of this house from the outside, I don't really think that I want to go inside.<br> B: From here, it does look like it could use a little work. Let's see what the interior looks like.",That's what she said.,49,"A: Have you ever flown on an airplane?<br> B: Yes, I've flown in planes many times.<br> A: Were you scared?","No, I have never flown a plane.",50,"A: How are you enjoying your evening?<br> B: I am enjoying it very much, thank you.<br> A: How did you come to meet the host?",I met the host through a friend of a friend.,52,"A: The bartender just gave the last call. Let's order another round, okay?<br> B: Sure, but let's get a pitcher this time We should be able to down it before they close.",That sounds like a good idea. I'll be right back.,53,A: My girlfriend's mom got mad at me at the dinner table.<br> B: Why was that?<br> A: I sprinkled salt and pepper on the food before I tasted it.,I did the same with pepper. My Boyfriend didn't even notice.,54,44,4,4,3,54,5,5,4,45,5,5,3,46,4,4,3,47,5,5,4,48,4,4,5,49,2,3,2,50,1,1,1,52,5,5,3,53,5,5,4,51,1,1,1,{},,
36QZ6V158B52476B459O64KKGOMSUD,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:20 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:20 PDT 2022,,,3GLB5JMZF0OGJKKSDDUKV9SM68AGD3,A2PJBSDDN22XIX,Submitted,Thu Jun 23 21:39:44 PDT 2022,Thu Jun 23 21:41:22 PDT 2022,Sun Jun 26 21:41:22 PDT 2022,,,,98,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,106,"A: I need a cheap car.<br> B: How much money do you have?<br> A: $1,000.",What kind of car are you looking for? What kind of mileage do you want it to have?,99,A: How much is that one?<br> B: It's two hundred and eighty dollars.,"Wow, that is really expensive for a sticker. I was expecting like 100. I am in the UK so that might be why I don't pay that much.",100,"A: Dad, I don't have my own car.<br> B: Your mom and I talked to you about this.<br> A: I wasn't paying attention.",what does that have to do with it,101,A: I have an extra ticket to the Beyonce concert on Friday.<br> B: That's nice.<br> A: I was wondering if you want to come with me?,I'm already going on Friday with friends but thank for the offer.,102,"A: Look! Mom, that's amazing! I can't believe the girls have so neat movements.<br> B: Yeah, they all received very strict training. A: minute on the stage takes ten-year practice.",Wow that's intense. I hope they love performing and getting paid to do it!,103,"A: Have you ever been to the opera before?<br> B: No, but I hear it's very beautiful.<br> A: Is it true that opera is sung in a foreign language?","I'm not sure, but I do know that the word opera was first recorded in the 10th century.",104,A: I have to go to the bathroom.<br> B: You drink too much coffee.<br> A: But I love coffee.,You drink too much coffee.,105,"A: I need to stop payment on a check that I wrote.<br> B: Do you have a copy of the check you wrote?<br> A: Yes, I was able to get a digital copy online.",That's not how it works.,107,A: How much per night are we talking about?<br> B: Each night will be $308.,"Yeah, that's really high. I would definitely look into finding another place. I'm not sure how it is where you are from, but in my area the cheapest is $44 per person.",108,"A: Do you have a cold?<br> B: Yes, I do.<br> A: How did you get it?",I just got it from being around other people at work.,109,99,5,5,5,109,4,5,4,100,5,5,5,101,4,4,4,102,5,5,5,103,5,5,5,104,2,3,2,105,5,5,5,107,3,3,2,108,5,5,5,106,5,5,5,{},,
3HA5ODM5KCK2HMVB9VJT2QM3UVVSV2,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:21 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:21 PDT 2022,,,3D8YOU6S9HD03T68NVBNTIJLYNJU6S,A5BCSSPC180AG,Submitted,Thu Jun 23 09:37:22 PDT 2022,Thu Jun 23 09:39:36 PDT 2022,Sun Jun 26 09:39:36 PDT 2022,,,,134,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,227,A: I'm a good card player.<br> B: Why is that?<br> A: Because I watch the other players.,I don't understand why you think you are good at card playing though...?,220,A: Don't you ever cheat on me.<br> B: Why would I do that?<br> A: Because men like to cheat.,I'm not like other men.,221,A: I'd like to open another account.<br> B: That's great. What kind of account would you like to open?<br> A: I already have a checking account here.,Why do you want to open a new account? What do you plan to do with the money?,222,A: I would like to have a garden.<br> B: Planting a garden is a lot of work.<br> A: But then you grow beautiful flowers.,That is true! I love to be in the garden.,223,A: What time is it?<br> B: The sun just rose.<br> A: How many more hours are left?,"It's 4:30pm here in the UK. It's a bit early for me, but I don't mind.",224,"A: Put the rock back where you found it.<br> B: But I like the rock, mommy.<br> A: So do the animals that live here.",There are lots of rocks left for the animals.,225,"A: I'll pay the restaurant bill.<br> B: No, I'll pay.<br> A: You always pay. I'll do it this time.",Alright. You can pay this time.,226,A: There's a problem with that.<br> B: What is the problem?<br> A: I won't be able to give you back your deposit.<br> B: Why not?<br> A: This was stated in our agreement.,I didn't get an agreement.,228,A: I called HP about my computer.<br> B: What did they say?<br> A: They said I need a new hard drive.,"Well, I hope they can fix your hard drive, man!",229,"A: Good Morning! EDD, how can I help you?<br> B: Hello, I recently lost my job. Can I file for unemployment?<br> A: Yes, you certainly can.",I was wondering if I can file for unemployment too please help ❤ ️,230,220,2,2,3,230,2,2,2,221,5,5,2,222,1,2,3,223,4,3,3,224,3,3,3,225,4,4,3,226,4,4,4,228,4,4,3,229,3,3,3,227,4,4,4,{},,
3HXK2V1N4M7QUQOIQL51B76P9M92GL,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:21 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:21 PDT 2022,,,3G5F9DBFOSQGDXFPO4CWMVAULFQVHF,A2PJBSDDN22XIX,Submitted,Thu Jun 23 21:37:46 PDT 2022,Thu Jun 23 21:39:43 PDT 2022,Sun Jun 26 21:39:43 PDT 2022,,,,117,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,238,A: There is garbage all over the ground!<br> B: Those raccoons knocked over the trash cans again.<br> A: I feel like calling animal control!,You should. The Raccoons are getting out again.,231,"A: We should start fixing up the interior of the house, Angela.<br> B: Why is that, Jonathan? Don't we have time?<br> A: Yes, we do, but the sooner, the better.",That sounds like a good idea. I think we should do that.,232,A: Do you want to come to my house tomorrow?<br> B: My mother says I'm not allowed to go out this week.<br> A: Why are you not allowed to go out?,I live with my parents and they don't want me going out at night. I'm only 17.,233,A: Are you married?<br> B: No. I'm divorced.<br> A: When did you get divorced?,I got divorced in 2008. we were young. He was a deadbeat who didn't even pay child support. It was the worst experience of my life.,234,A: Excuse me! I need a ticket.<br> B: You owe me a dollar.<br> A: I already put one in!,"That doesn't matter, you still owe me a dollar.",235,A: Today is Friday the thirteenth.<br> B: That's a bad day.<br> A: It's supposed to be unlucky.,It's a bad day.,236,"A: Nothing, Mummy. I was hungry so I came here for some milk.<br> B: Milk? I thought you didn't like milk.",I don't like milk.,237,"A: I am so thirsty.<br> B: Sorry, I don't have water.<br> A: Is there a restaurant nearby?","Yes, there is a nice Italian place nearby. I think I will go there.",239,"A: Excuse me, sir?<br> B: Yes, is there a problem?<br> A: I'm sorry to be the one to tell you, but you can't park here.",Why can't I park here there is not sign?,240,A: Why is there a sticker over your webcam lens?<br> B: I don't trust the computer company.<br> A: Do you think it's spying on you?,It's a possibility!,241,231,4,4,4,241,5,5,5,232,5,5,5,233,5,5,5,234,5,5,5,235,2,2,1,236,5,5,5,237,5,5,5,239,5,5,5,240,5,5,5,238,5,5,5,{},,
3CVBMEMMXD8BGNGZG34ESYZYZ287H5,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:21 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:21 PDT 2022,,,3ZGVPD4G6WANRQBUPVIOLKQEKKQZTS,A2PJBSDDN22XIX,Submitted,Thu Jun 23 21:32:30 PDT 2022,Thu Jun 23 21:35:21 PDT 2022,Sun Jun 26 21:35:21 PDT 2022,,,,171,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,249,"A: Mr. Smith, please.<br> B: Sorry, he is out.","No big deal, I was hoping he was in.",242,A: No. I am a transit passenger going to Sweden.<br> B: How long are you going to stay here?,Only one night.,243,"A: Me? No way, keep him away from me, please.<br> B: Why are you acting so strange today?",I don't know. Maybe it's because it's the weekend and I have nothing to do.,244,A: Are you ready?<br> B: Ready for what?<br> A: Ready for the big switch.,"Yes, I am. I have been waiting for this day for a long time. I am so excited.",245,A: The boss wanted to pay Bob with stock options. But Bob didn't want to play that game again.<br> B: Again?,"That's right, even though I did set the alarm last night.",246,A: Tiger is the greatest golfer in the world.<br> B: You can say that again.<br> A: But I’m worried about Tiger.,I agree. He is the best golfer of all time.,247,"A: Greetings, neighbor. How's it going?<br> B: Hello to you! It's going just fine. Welcome to the neighborhood.<br> A: Thank you. How long have you been living here?",I moved in about a month ago.,248,A: I can't wait until I graduate.<br> B: Me too.<br> A: No more homework.,Homework is such a pain in the ass. I'm glad I don't have to do it anymore.,250,"A: Boy, I'm glad that job is finished.<br> B: How long did it take?<br> A: Four hours, without a break.",I'm sorry to hear that.,251,A: I'm on a new diet.<br> B: What are you eating now?<br> A: I switched from pasta to potatoes.,I'm on a new diet.,252,242,4,5,4,252,2,3,2,243,5,5,5,244,4,5,4,245,5,5,5,246,1,2,1,247,5,5,5,248,4,5,4,250,4,5,4,251,5,5,5,249,4,5,4,{},,
31MBOZ6PAQJJE0ULY5RN0CKJHU8CLA,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:21 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:21 PDT 2022,,,3YHH42UU5E826SXZCS35TUDB8S50L2,ALDQRWYZ8KQ9A,Submitted,Thu Jun 23 08:03:05 PDT 2022,Thu Jun 23 08:07:51 PDT 2022,Sun Jun 26 08:07:51 PDT 2022,,,,286,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,271,"A: How are you?<br> B: I'm doing well. How are you?<br> A: I'm fine, thanks. I was wondering if you read my report.","I read the report, but I don't really know how to reply to it. How are you?",264,"A: What are you going to do about your death?<br> B: Well, mostly I'll try to avoid it.<br> A: I mean, are you going to get buried or cremated?",I'm not sure. I don't know what I want to do with my life.,265,A: Thank you for coming so quickly.<br> B: What seems to be the problem?<br> A: All the channels suddenly stopped working.,I'm so glad you enjoyed it. Thank you so much for your kind words. I really appreciate it.,266,"A: I think you're really pretty.<br> B: Thanks, that's nice of you to say.<br> A: Will you go out with me?","Thank you, I appreciate that.",267,A: Where are you going?<br> B: I'm going to buy some flowers for Valentine's Day.<br> A: Who are the flowers for?,They are for my grandmother. She is in a nursing home and I miss her a lot.,268,"A: Do you know why I stopped you?<br> B: No, officer. Why?<br> A: You failed to stop at the stop sign.","I'll take that, officer I will not be stopping at stop signs",269,A: I don't have long distance service with my home phone.<br> B: So how do you make long distance calls?<br> A: I use a calling card.,That seems like such an old-fashioned way to do things.,270,"A: I have five classes and 40 hours of work weekly.<br> B: Your life is so stressful.<br> A: Sadly, it is.",I'm sorry to hear that. What do you do for a living? Do you have a job?,272,A: My back is killing me.<br> B: What did you do?<br> A: I got out of my car.,That must have been a relief. Did you have to wait a long time for a parking spot?,273,"A: Good afternoon. Can I be of service?<br> B: I don't know. Can I purchase Treasury Certificates here at this counter?<br> A: Yes, of course. We have Treasury Notes with two, three and five-year terms available.<br> B: Two years is fine, with a value of 1,000 RIB.<br> A: OK, could I take a look at some ID please, like a passport?<br> B: Here you go. By the way, is it possible to cash them before the maturity comes up?","I'm not sure, but I don't think so. I think you have to wait until they are 18.",274,264,2,3,4,274,2,5,4,265,2,5,4,266,1,5,4,267,1,5,2,268,5,5,5,269,1,2,3,270,5,5,4,272,2,4,4,273,1,5,5,271,5,5,4,The instructions that gave examples and their grades for the three categories were the best.,,
3YO4AH2FPFCAB5FIEU6ZMXHCIBY0QU,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:21 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:21 PDT 2022,,,3UOUJI6MTG7DM8Q4OIKDTVW5VRKXUR,A3KP8KFGG6734Q,Submitted,Thu Jun 23 09:43:43 PDT 2022,Thu Jun 23 09:47:14 PDT 2022,Sun Jun 26 09:47:14 PDT 2022,,,,211,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,282,A: I wish I was a cheerleader.<br> B: Why do you want to be one?<br> A: Cheerleaders are popular.,no reponse,275,"A: I checked the whole car, and it has some problems.<br> B: What kind of problems does it have?<br> A: The brakes need to be replaced, as well as the power steering.",Why do you think that the brakes need to be replaced?,276,A: Should I ask Nancy out or not?<br> B: You should not.<br> A: Why shouldn't I?,"Because Nancy doesn 't really need to know anything about you, just be yourself.",277,"A: Exactly! I searched on the web and found a couple of HMO's with low co-pays and good coverage. The deductibles are low, too.<br> B: Sounds good, although, do you think we can qualify for insurance? Those insurance companies are real pirates when it comes to money.",That's good to hear. I'm glad you found something that works for you. What do you do for work?,278,"A: Can I borrow your class notes?<br> B: Sure, but didn't you take any down?<br> A: I couldn't really see the board.",I'm not sure what you mean.,279,"A: Hello, my name is George.<br> B: Hello, George. How can I help you?<br> A: I'm trying to file a claim online, but I have questions.",What kind of questions do you have? I might be able to answer some of them for you.,280,A: I have a date with an amazing girl tomorrow.<br> B: How did you meet her?<br> A: I bumped into her on the street.,Did you say anything to her? Or did you pretend like you didn't see her at all?,281,A: Ow! That really hurts!<br> B: Are you alright? What happened?<br> A: I accidentally cut myself.,"Yeah, it was pretty bad.",283,"A: I've got a date for you.<br> B: Oh, really?<br> A: Are you interested?",Possibly. Tell me more about my date.,284,A: I am going to get the meatloaf.<br> B: Get anything but the meatloaf.<br> A: What's wrong with meatloaf?,"Meatloaf is one of my favorite foods, but I don't want to eat it every night.",285,275,1,1,1,285,3,4,4,276,3,3,3,277,1,1,1,278,1,1,1,279,1,1,1,280,3,3,3,281,1,1,1,283,1,1,1,284,3,3,3,282,1,1,1,{},,
38F60IALAI9N3L7AVY0UR2SZ2IX0T8,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:22 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:22 PDT 2022,,,39N5ACM9HHGAT70A4GF53MNOG62P93,A3T9WZOUQGE2UW,Submitted,Thu Jun 23 08:08:44 PDT 2022,Thu Jun 23 08:13:56 PDT 2022,Sun Jun 26 08:13:56 PDT 2022,,,,312,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,414,"A: I like the sound of that.<br> B: Yes, that is today's sale price.",I don't.,407,A: Hi. What's your name?<br> B: My name is Jung Min. What's your name?,My name is Jessica. It's nice to meet you.,408,"A: I can't find the jasmine rice!<br> B: Isn't it in the rice section?<br> A: No, they don't have it here.",I'm sorry to hear that. I'm sure you can find it online. What is your favorite type of rice?,409,"A: Doesn't that new Godzilla movie look good?<br> B: The effects are much better than in the old movies.<br> A: The storyline sounds interesting, too.","Yeah, I'm really looking forward to it. I think it's going to be really good.",410,"A: I want to transfer, but I don't know where to start.<br> B: Let's start with the basics. What do you want to major in?<br> A: I want to major in biology.",I'm not sure if you're serious or not.,411,"A: What are you wearing to the banquet tomorrow?<br> B: I'm not sure yet. What about you?<br> A: I saw a dress I liked, but it was very expensive.","I'm going to wear a suit and tie, but I'm not sure what to wear.",412,A: That child just won't stop crying!<br> B: It's been crying for the last three stops!<br> A: The mother has tried feeding it already.,"The mother is feeding him, it's just not getting anything out of it.",413,A: Have you ever listened to AM radio? It's quite a different experience than the traditional news stations on TV and FM radio.<br> B: I don't remember the last time I listened to AM radio.,Well I've been listening to the am radio station on the radio for over a decade now and I think it's a lot better than TV news station,415,A: I'm going to the bank.<br> B: What do you need to do?<br> A: I need to withdraw some money.,What are you going to do at the bank?,416,A: People who live in California are crazy.<br> B: Why is that?<br> A: Because of all the earthquakes and fires.,Can confirm. Live in California. Am crazy.,417,407,1,4,1,417,3,3,4,408,5,5,3,409,4,5,4,410,4,5,3,411,2,4,2,412,2,3,2,413,3,3,3,415,5,5,5,416,2,4,2,414,3,3,3,{},,
38F60IALAI9N3L7AVY0UR2SZ2IX0T8,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 07:45:22 PDT 2022,3,BatchId:4767070;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 07:45:22 PDT 2022,,,3URFVVM168B2R3QJP08YQGCG3Q9UZA,ALDQRWYZ8KQ9A,Submitted,Thu Jun 23 07:49:10 PDT 2022,Thu Jun 23 07:54:50 PDT 2022,Sun Jun 26 07:54:50 PDT 2022,,,,340,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,414,"A: I like the sound of that.<br> B: Yes, that is today's sale price.",I don't.,407,A: Hi. What's your name?<br> B: My name is Jung Min. What's your name?,My name is Jessica. It's nice to meet you.,408,"A: I can't find the jasmine rice!<br> B: Isn't it in the rice section?<br> A: No, they don't have it here.",I'm sorry to hear that. I'm sure you can find it online. What is your favorite type of rice?,409,"A: Doesn't that new Godzilla movie look good?<br> B: The effects are much better than in the old movies.<br> A: The storyline sounds interesting, too.","Yeah, I'm really looking forward to it. I think it's going to be really good.",410,"A: I want to transfer, but I don't know where to start.<br> B: Let's start with the basics. What do you want to major in?<br> A: I want to major in biology.",I'm not sure if you're serious or not.,411,"A: What are you wearing to the banquet tomorrow?<br> B: I'm not sure yet. What about you?<br> A: I saw a dress I liked, but it was very expensive.","I'm going to wear a suit and tie, but I'm not sure what to wear.",412,A: That child just won't stop crying!<br> B: It's been crying for the last three stops!<br> A: The mother has tried feeding it already.,"The mother is feeding him, it's just not getting anything out of it.",413,A: Have you ever listened to AM radio? It's quite a different experience than the traditional news stations on TV and FM radio.<br> B: I don't remember the last time I listened to AM radio.,Well I've been listening to the am radio station on the radio for over a decade now and I think it's a lot better than TV news station,415,A: I'm going to the bank.<br> B: What do you need to do?<br> A: I need to withdraw some money.,What are you going to do at the bank?,416,A: People who live in California are crazy.<br> B: Why is that?<br> A: Because of all the earthquakes and fires.,Can confirm. Live in California. Am crazy.,417,407,1,1,1,417,4,4,4,408,5,4,5,409,4,3,5,410,5,4,3,411,2,4,1,412,2,3,3,413,2,3,3,415,4,3,5,416,1,4,2,414,2,3,3,{},,
