filename,kappa,lwr,upr,subjects,p_value
2_3_00_Appropriateness.csv,0.275202192,0.222789679,0.327614705,400,3.30E-09
2_3_00_Humanlikeness.csv,0.339689189,0.282379646,0.396998731,400,5.77E-14
2_3_00_Information content of outputs.csv,0.081884992,0.064412984,0.099357,400,7.05E-05
2_3_01_Appropriateness.csv,0.381853885,0.316922369,0.446785401,400,0
2_3_01_Humanlikeness.csv,0.331340794,0.264554333,0.398127254,400,0
2_3_01_Information content of outputs.csv,0.372384937,0.305316045,0.439453829,400,0
2_3_10_Appropriateness.csv,0.305446197,0.241263963,0.369628431,400,4.24E-14
2_3_10_Humanlikeness.csv,0.388160509,0.31923466,0.457086357,400,2.22E-16
2_3_10_Information content of outputs.csv,0.129334787,0.101564856,0.157104718,400,2.22E-16
2_3_11_Appropriateness.csv,0.472730269,0.392999348,0.552461189,400,0
2_3_11_Humanlikeness.csv,0.42429295,0.340377778,0.508208122,400,0
2_3_11_Information content of outputs.csv,0.488416395,0.40666721,0.570165581,400,0
2_4_00_Appropriateness.csv,0.452883913,0.394302532,0.511465294,400,0
2_4_00_Humanlikeness.csv,0.057301159,0.028397033,0.086205284,400,0.280755379
2_4_00_Information content of outputs.csv,0.02586194,-0.013277781,0.06500166,400,0.699384568
2_4_01_Appropriateness.csv,0.43058844,0.375631308,0.485545572,400,0
2_4_01_Humanlikeness.csv,0.048508423,0.018757125,0.078259721,400,0.067162277
2_4_01_Information content of outputs.csv,-0.008144366,-0.042658188,0.026369456,400,0.001116541
2_4_10_Appropriateness.csv,0.433671719,0.375468709,0.49187473,400,0
2_4_10_Humanlikeness.csv,0.064256153,0.021938811,0.106573496,400,0.05965154
2_4_10_Information content of outputs.csv,0.030593977,-0.002859793,0.064047746,400,0.9405841
2_4_11_Appropriateness.csv,0.481865285,0.418067646,0.545662924,400,0
2_4_11_Humanlikeness.csv,0.044472149,0.004201831,0.084742467,400,0.123508743
2_4_11_Information content of outputs.csv,0.013984939,-0.013417957,0.041387835,400,0.924278829
3_4_00_Appropriateness.csv,0.28279543,0.218530716,0.347060144,400,0.003647541
3_4_00_Humanlikeness.csv,0.154749619,0.073327529,0.23617171,400,3.74E-06
3_4_00_Information content of outputs.csv,0.003469813,-0.005197345,0.01213697,400,0.529087734
3_4_01_Appropriateness.csv,0.485826701,0.420250871,0.551402531,400,0
3_4_01_Humanlikeness.csv,0.116686095,0.042171752,0.191200438,400,0.015446407
3_4_01_Information content of outputs.csv,0.000940422,-0.000373086,0.002253929,400,0.227152774
3_4_10_Appropriateness.csv,0.347697971,0.28270947,0.412686473,400,2.15E-13
3_4_10_Humanlikeness.csv,0.102829538,0.025098376,0.180560699,400,0.037521771
3_4_10_Information content of outputs.csv,0.026071802,-0.001755316,0.053898919,400,0.467951114
3_4_11_Appropriateness.csv,0.518048969,0.448828664,0.587269275,400,0
3_4_11_Humanlikeness.csv,0.093967993,0.015566008,0.172369979,400,0.012801363
3_4_11_Information content of outputs.csv,0.027828276,0.006542685,0.049113866,400,0.486742133
