,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1
0,5,5,4,5,5,4,4,5
1,2,1,1,2,1,1,1,1
2,3,5,2,4,5,3,5,2
3,5,4,5,4,5,4,5,5
4,4,5,4,4,5,4,5,4
5,5,5,4,5,5,4,5,5
6,1,3,2,3,2,1,5,2
7,4,4,2,1,4,4,2,3
8,5,4,5,4,5,4,5,4
9,5,5,5,5,4,4,5,5
10,4,4,4,4,5,3,4,5
11,5,5,4,4,5,4,5,5
12,2,5,3,4,5,2,4,2
13,5,5,4,5,5,4,4,4
14,2,3,1,2,2,3,2,1
15,1,1,2,1,1,1,1,1
16,1,1,1,1,3,1,1,1
17,4,3,3,4,2,4,5,3
18,3,2,3,2,1,2,2,1
19,2,1,1,1,1,1,1,1
20,1,5,4,3,3,2,3,3
21,5,5,4,5,2,4,2,3
22,5,5,4,4,5,1,5,5
23,3,3,1,1,2,1,4,3
24,5,3,4,3,5,4,5,5
25,2,2,4,4,1,4,4,2
26,5,5,5,5,5,4,5,5
27,5,5,5,5,4,4,5,5
28,3,4,4,3,4,2,4,4
29,4,5,5,5,5,4,5,5
30,5,5,5,5,5,4,5,5
31,5,4,5,5,5,4,5,4
32,4,5,5,5,5,4,5,5
33,2,4,4,3,2,4,4,3
34,1,1,2,3,1,1,5,1
35,2,1,1,5,2,3,2,1
36,3,1,5,2,2,1,1,1
37,1,2,2,1,3,2,1,1
38,5,5,5,5,5,4,5,5
39,5,5,5,5,5,4,5,5
40,3,5,5,5,5,4,2,5
41,2,1,3,4,2,3,3,4
42,5,5,5,5,5,4,5,5
43,2,1,3,4,2,1,2,2
44,1,1,2,3,5,2,2,4
45,1,2,3,2,2,1,2,3
46,5,5,5,5,5,3,5,3
47,2,3,3,2,5,1,4,4
48,4,5,5,4,5,2,5,5
49,1,3,2,3,4,2,3,4
