,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1
0,5,5,5,5,4,4,5,5
1,5,5,1,1,1,1,4,5
2,4,5,2,5,2,4,5,3
3,4,4,4,3,4,4,5,5
4,3,5,5,5,5,5,5,5
5,5,5,5,5,4,5,5,5
6,5,5,1,2,1,1,5,5
7,4,3,3,1,5,5,5,5
8,4,5,5,4,4,4,5,5
9,5,5,4,4,4,4,5,5
10,5,5,2,3,5,4,5,5
11,5,5,4,5,2,4,5,4
12,5,5,3,5,4,2,4,4
13,5,5,4,5,5,4,5,5
14,5,5,1,1,2,3,4,5
15,5,5,1,1,1,1,5,5
16,5,5,1,1,3,1,4,2
17,5,5,3,4,1,4,5,5
18,4,4,3,2,1,4,4,2
19,5,5,1,1,1,1,5,5
20,4,5,4,3,2,1,4,5
21,4,5,4,5,2,4,5,5
22,5,5,4,4,5,4,5,5
23,5,5,1,1,2,1,4,4
24,5,3,5,4,5,4,5,5
25,2,3,4,4,1,4,4,2
26,5,5,5,5,5,4,5,5
27,3,5,2,5,2,4,5,5
28,1,5,3,3,4,2,2,4
29,5,5,5,5,5,4,4,4
30,5,5,5,5,5,4,5,5
31,5,3,5,5,4,4,5,5
32,5,5,4,5,5,4,5,5
33,5,5,3,3,4,4,3,4
34,1,5,1,2,1,1,5,5
35,2,3,1,5,2,4,4,3
36,5,5,5,1,2,4,4,5
37,4,2,3,1,4,4,1,4
38,5,3,5,5,5,5,5,5
39,5,5,5,5,5,5,5,5
40,3,5,5,5,5,4,4,4
41,1,1,2,5,2,4,1,1
42,5,5,2,5,2,4,5,3
43,3,3,4,4,2,4,2,4
44,5,5,1,2,5,4,4,5
45,3,4,3,1,1,1,5,5
46,5,5,5,5,5,5,5,5
47,5,5,2,2,5,5,5,5
48,5,5,5,4,5,4,5,5
49,3,5,1,2,2,2,3,5
