,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1
0,3,3,5,5,4,4,2,5
1,2,1,1,1,1,1,1,2
2,3,2,3,4,2,2,5,4
3,1,1,2,3,1,4,1,1
4,4,4,5,5,2,5,2,3
5,3,3,2,4,2,5,3,3
6,3,3,1,2,2,1,4,5
7,4,4,4,1,2,5,3,5
8,1,1,5,4,2,2,4,4
9,2,4,3,3,4,2,5,5
10,3,3,1,3,2,2,1,2
11,4,3,4,5,5,4,3,5
12,3,3,2,4,4,2,3,3
13,3,4,2,4,4,4,3,2
14,3,3,1,2,4,2,4,4
15,4,4,2,1,4,1,1,4
16,3,3,1,1,2,1,5,5
17,3,3,2,3,2,5,2,3
18,4,3,3,2,4,2,4,5
19,3,2,1,1,1,1,1,2
20,4,4,4,3,4,1,2,4
21,2,3,3,4,2,4,2,2
22,3,3,3,4,4,2,2,3
23,2,1,1,1,4,1,3,5
24,1,1,3,3,2,3,2,1
25,2,1,3,4,2,4,5,4
26,4,5,5,5,5,4,5,5
27,3,5,5,5,5,4,5,5
28,3,4,2,4,4,2,2,4
29,3,3,5,5,5,4,4,5
30,3,3,3,5,5,4,5,5
31,4,3,5,5,3,4,5,5
32,2,2,3,5,3,4,3,2
33,4,3,5,4,4,4,3,5
34,3,2,1,2,3,1,5,2
35,4,3,2,5,4,4,4,4
36,2,3,3,2,3,4,1,2
37,3,3,3,1,2,2,2,5
38,2,1,2,3,2,4,2,2
39,5,4,4,5,5,4,4,5
40,4,3,5,5,5,5,2,4
41,4,3,3,4,2,2,4,3
42,3,2,5,5,4,4,5,4
43,3,3,2,4,3,1,1,3
44,4,4,1,3,5,2,3,3
45,4,2,5,1,3,1,3,5
46,4,3,5,5,4,4,4,5
47,2,3,5,4,4,1,2,4
48,2,1,3,4,2,2,4,2
49,5,5,5,3,4,2,2,5
