,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1
0,5.0,5,2,4,2.0,1.0,5,5,4,5,3,3
1,5.0,5,5,5,4.0,5.0,5,5,5,5,5,5
2,5.0,5,3,2,4.0,5.0,5,5,5,5,5,5
3,5.0,5,4,4,1.0,4.0,2,5,4,4,5,5
4,4.0,5,5,3,4.0,5.0,5,5,5,5,5,5
5,3.0,4,2,3,5.0,1.0,2,1,1,2,3,3
6,5.0,5,5,5,4.0,5.0,5,5,3,4,5,5
7,5.0,5,3,5,4.0,5.0,5,5,5,5,5,5
8,3.0,3,1,2,4.0,2.0,3,3,5,5,3,3
9,5.0,5,5,5,5.0,5.0,5,5,5,5,5,5
10,3.0,4,4,4,4.0,5.0,5,3,5,5,5,5
11,5.0,5,4,5,2.0,2.0,5,5,3,5,3,3
12,5.0,5,3,2,4.0,2.0,5,5,5,5,5,5
13,5.0,5,4,5,5.0,5.0,5,5,5,5,5,5
14,5.0,5,4,5,5.0,4.0,5,5,5,5,5,5
15,3.0,5,5,3,2.0,4.0,5,5,5,5,5,5
16,3.0,5,1,2,4.0,5.0,5,5,5,5,5,5
17,5.0,5,1,3,2.0,4.0,5,4,5,5,5,5
18,5.0,5,5,5,5.0,4.0,5,5,4,5,5,5
19,5.0,5,5,5,5.0,5.0,5,4,3,3,4,4
20,5.0,5,2,5,5.0,4.0,5,5,5,5,5,5
21,5.0,5,2,3,4.0,4.0,5,5,3,4,5,5
22,5.0,5,3,5,5.0,4.0,5,5,5,5,5,5
23,5.0,5,1,1,4.0,1.0,5,3,4,5,5,5
24,5.0,4,3,5,5.0,4.0,5,5,5,5,5,5
25,5.0,5,1,1,1.0,1.0,5,5,5,4,5,5
26,5.0,5,1,1,4.0,4.0,5,4,5,5,5,5
27,5.0,5,1,3,4.0,2.0,5,4,5,5,5,5
28,5.0,5,1,1,1.0,1.0,4,5,5,5,5,5
29,5.0,5,1,1,2.0,4.0,4,4,5,5,5,5
30,5.0,5,5,5,5.0,4.0,5,5,5,5,4,4
31,5.0,5,1,2,5.0,4.0,5,5,4,3,5,5
32,5.0,5,5,5,4.0,5.0,5,4,4,5,4,4
33,5.0,5,1,1,1.0,4.0,5,4,2,3,5,5
34,5.0,5,5,5,4.0,1.0,5,5,5,5,5,5
35,5.0,5,2,5,4.0,4.0,5,5,5,5,5,5
36,5.0,5,4,5,5.0,4.0,5,5,2,2,1,1
37,5.0,5,3,2,5.0,5.0,5,4,5,5,3,3
38,5.0,5,5,2,4.0,5.0,5,4,5,5,4,4
39,5.0,5,5,5,5.0,4.0,5,5,5,5,5,5
40,4.0,3,5,5,5.0,5.0,5,2,5,5,5,5
41,5.0,5,1,1,4.0,2.0,5,4,5,5,5,5
42,5.0,5,1,1,5.0,4.0,5,3,5,5,5,5
43,3.0,3,3,1,3.0,4.0,5,2,4,4,5,5
44,5.0,5,5,5,5.0,5.0,5,3,5,5,5,5
45,5.0,5,1,1,3.0,4.0,4,5,5,5,4,4
46,5.0,5,5,5,5.0,2.0,5,5,5,5,5,5
47,5.0,5,5,2,5.0,2.0,5,4,5,5,4,4
48,1.0,1,1,1,1.0,1.0,1,1,5,5,5,5
49,5.0,5,4,2,5.0,4.0,5,5,5,4,5,5
