,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1
0,3.0,3,4,3,2.0,4.0,3,5,2,4,3,3
1,2.0,1,3,5,4.0,2.0,2,2,5,5,5,5
2,3.0,3,1,2,4.0,4.0,5,5,5,5,5,5
3,3.0,2,1,3,1.0,2.0,2,3,4,5,4,4
4,4.0,3,5,2,4.0,4.0,5,4,5,5,5,5
5,5.0,3,4,4,4.0,4.0,5,4,5,5,3,3
6,2.0,3,5,5,4.0,2.0,4,4,4,5,4,4
7,3.0,3,4,5,4.0,2.0,3,4,5,5,4,4
8,1.0,1,1,1,2.0,1.0,2,2,4,4,3,3
9,4.0,3,5,4,5.0,4.0,3,4,5,5,5,5
10,2.0,2,4,3,4.0,4.0,4,2,5,5,3,3
11,2.0,2,3,5,4.0,4.0,3,5,2,2,2,2
12,2.0,2,2,2,3.0,2.0,1,1,5,5,4,4
13,2.0,2,5,5,5.0,2.0,3,4,5,5,5,5
14,3.0,3,2,1,5.0,2.0,3,4,4,4,3,3
15,2.0,3,5,3,2.0,4.0,4,5,4,4,4,4
16,2.0,2,1,2,4.0,2.0,2,2,5,5,4,4
17,4.0,3,2,3,3.0,4.0,3,4,4,4,3,3
18,3.0,3,2,3,5.0,1.0,1,1,5,5,5,5
19,3.0,4,5,5,5.0,4.0,5,5,5,5,4,4
20,4.0,3,1,2,5.0,1.0,2,2,5,5,3,3
21,3.0,3,1,3,4.0,2.0,3,4,5,5,5,5
22,2.0,1,2,1,5.0,1.0,2,1,5,5,4,4
23,4.0,3,1,1,2.0,4.0,4,5,4,4,5,5
24,4.0,3,2,4,5.0,2.0,4,3,5,5,3,3
25,4.0,3,1,1,1.0,1.0,4,3,5,5,3,3
26,3.0,3,4,4,3.0,2.0,3,3,2,2,3,3
27,4.0,4,4,5,2.0,4.0,5,4,5,5,3,3
28,2.0,2,1,1,1.0,2.0,3,3,5,5,5,5
29,3.0,3,3,1,5.0,4.0,3,4,5,4,4,4
30,3.0,3,5,4,5.0,2.0,3,3,1,2,3,3
31,2.0,2,1,1,5.0,2.0,2,2,5,5,5,5
32,3.0,3,5,3,4.0,2.0,2,4,5,5,4,4
33,4.0,3,1,1,1.0,4.0,4,4,4,5,4,4
34,2.0,2,2,3,4.0,2.0,2,3,5,5,5,5
35,5.0,4,5,5,4.0,4.0,5,5,5,5,4,4
36,2.0,2,4,4,5.0,2.0,2,2,4,1,2,2
37,4.0,4,4,3,5.0,4.0,4,5,1,1,2,2
38,4.0,5,5,2,4.0,5.0,5,5,2,3,3,3
39,4.0,4,5,3,5.0,3.0,4,3,5,5,4,4
40,4.0,5,5,5,5.0,5.0,5,5,5,5,3,3
41,3.0,5,4,1,1.0,5.0,4,4,5,5,4,4
42,4.0,3,1,1,5.0,2.0,4,2,2,1,3,3
43,3.0,4,5,1,4.0,5.0,5,4,5,5,4,4
44,4.0,4,5,5,5.0,5.0,5,5,5,5,4,4
45,2.0,4,1,1,3.0,4.0,4,3,1,2,3,3
46,2.0,2,2,3,5.0,1.0,1,1,5,5,3,3
47,4.0,3,5,4,5.0,4.0,3,5,5,5,3,3
48,1.0,1,1,1,1.0,2.0,4,1,2,4,3,3
49,2.0,2,4,2,5.0,2.0,3,3,5,5,4,4
