,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1
0,5,5.0,5,5,4.0,2,4,4,,
1,5,5.0,1,1,2.0,1,4,4,,
2,5,5.0,1,4,4.0,5,5,5,,
3,5,5.0,5,5,3.0,2,4,5,,
4,5,5.0,5,3,5.0,4,5,4,,
5,5,5.0,5,5,5.0,5,5,5,,
6,5,5.0,5,4,4.0,5,5,5,,
7,4,5.0,2,1,2.0,5,4,5,,
8,5,5.0,4,1,4.0,4,5,5,,
9,5,5.0,5,5,4.0,2,5,5,,
10,5,5.0,4,3,4.0,5,4,3,,
11,5,5.0,3,5,4.0,5,5,5,,
12,5,3.0,5,4,4.0,2,4,2,,
13,5,5.0,5,5,4.0,2,5,5,,
14,5,5.0,4,5,4.0,4,5,5,,
15,5,5.0,1,1,1.0,1,5,5,,
16,1,1.0,2,1,1.0,1,2,4,,
17,5,5.0,5,5,3.0,5,5,5,,
18,5,5.0,5,5,4.0,5,5,5,,
19,5,4.0,4,4,4.0,4,4,5,,
20,5,3.0,5,4,5.0,1,4,3,,
21,5,5.0,1,1,4.0,1,5,5,,
22,5,5.0,5,1,4.0,4,5,5,,
23,1,1.0,2,2,5.0,1,2,2,,
24,5,5.0,2,5,4.0,2,5,5,,
25,5,5.0,1,1,1.0,1,5,5,,
26,5,5.0,5,4,4.0,2,5,5,,
27,5,5.0,2,5,5.0,5,5,5,,
28,5,5.0,5,5,4.0,5,5,5,,
29,5,3.0,4,5,5.0,5,2,4,,
30,5,5.0,1,1,2.0,5,5,5,,
31,5,4.0,5,5,4.0,4,5,5,,
32,5,5.0,5,5,4.0,4,5,5,,
33,5,5.0,5,3,2.0,4,5,5,,
34,5,5.0,5,5,5.0,5,5,5,,
35,5,5.0,5,5,5.0,4,5,5,,
36,5,5.0,5,5,5.0,5,4,5,,
37,5,4.0,2,2,2.0,2,5,4,,
38,5,5.0,2,4,5.0,5,5,5,,
39,5,5.0,5,5,5.0,4,5,5,,
40,5,5.0,4,5,5.0,5,5,5,,
41,5,4.0,2,2,4.0,2,3,5,,
42,5,5.0,5,5,5.0,5,5,5,,
43,5,5.0,2,3,5.0,1,5,5,,
44,1,1.0,1,2,3.0,2,2,2,,
45,5,5.0,3,3,5.0,4,5,5,,
46,5,5.0,5,3,5.0,5,5,5,,
47,5,5.0,1,3,4.0,5,5,5,,
48,3,5.0,5,2,4.0,2,2,5,,
49,5,5.0,5,3,5.0,5,3,5,,
