,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1
0,4,2,2,4,2,5,3,4,,
1,5,5,2,5,2,4,2,4,,
2,2,1,1,1,2,3,2,2,,
3,5,5,5,4,5,5,5,5,,
4,5,3,4,4,5,5,3,3,,
5,5,5,5,4,5,5,5,4,,
6,5,5,5,5,5,5,5,5,,
7,3,3,5,1,5,5,3,3,,
8,3,1,5,3,5,5,4,2,,
9,5,5,5,5,5,5,5,5,,
10,5,5,5,5,5,5,4,5,,
11,2,2,4,2,2,1,2,2,,
12,1,1,1,1,2,2,1,1,,
13,1,1,1,1,2,1,1,1,,
14,5,5,5,5,4,5,5,4,,
15,1,1,2,3,5,5,2,3,,
16,5,5,5,5,5,5,5,4,,
17,5,4,5,5,5,5,5,5,,
18,4,5,5,4,5,5,5,4,,
19,4,3,5,4,4,2,5,5,,
20,5,2,2,3,5,5,3,5,,
21,5,5,5,5,5,5,4,5,,
22,2,1,5,4,1,1,2,1,,
23,4,2,5,4,1,1,3,3,,
24,5,5,5,5,5,5,5,5,,
25,5,5,5,5,5,5,5,5,,
26,5,4,5,5,5,5,5,5,,
27,2,2,2,1,5,5,2,2,,
28,3,4,5,5,5,5,5,4,,
29,1,5,5,5,5,5,1,5,,
30,5,5,5,5,5,5,5,4,,
31,5,2,5,5,5,5,3,3,,
32,5,2,2,3,2,5,3,2,,
33,3,4,5,4,5,5,5,4,,
34,3,3,2,1,5,1,1,2,,
35,5,5,5,5,5,5,5,4,,
36,5,5,5,5,5,5,5,5,,
37,2,5,2,1,1,1,1,2,,
38,5,5,5,5,2,5,5,4,,
39,4,4,2,5,5,5,4,5,,
40,3,2,5,3,4,5,3,3,,
41,5,5,5,5,5,5,5,5,,
42,4,4,2,1,5,5,5,5,,
43,3,2,5,1,4,5,5,3,,
44,5,5,2,4,5,1,1,4,,
45,1,2,1,1,4,4,3,2,,
46,2,3,1,1,5,1,4,2,,
47,2,5,5,4,4,5,5,4,,
48,5,2,2,3,4,5,3,3,,
49,3,2,2,2,2,3,2,2,,
