,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1
0,3,1,1,3,4,5,2,2,,
1,3,3,1,5,5,5,1,2,,
2,3,3,1,1,4,3,1,2,,
3,3,3,5,4,5,5,3,3,,
4,3,3,3,4,5,5,4,3,,
5,3,3,5,4,4,4,3,2,,
6,5,4,5,5,5,5,4,3,,
7,4,4,5,2,5,5,4,3,,
8,2,3,5,4,5,5,2,2,,
9,4,3,5,5,5,5,4,4,,
10,3,3,5,5,5,5,4,3,,
11,3,1,4,1,2,1,4,4,,
12,4,3,2,2,4,1,3,3,,
13,2,3,1,1,2,1,2,3,,
14,2,2,5,5,5,5,1,2,,
15,4,4,1,4,5,5,3,4,,
16,2,2,5,5,5,5,2,2,,
17,3,3,5,5,5,5,2,3,,
18,2,2,5,3,5,5,2,2,,
19,3,3,5,3,4,2,2,3,,
20,4,3,1,4,5,5,3,3,,
21,4,3,5,5,5,5,3,3,,
22,3,2,5,3,2,1,2,2,,
23,3,3,5,3,4,1,2,3,,
24,5,4,5,5,5,5,3,5,,
25,2,2,5,5,5,5,3,3,,
26,3,3,5,5,5,5,3,3,,
27,3,3,1,1,5,5,2,3,,
28,3,3,5,5,5,4,1,2,,
29,3,3,5,5,5,5,2,3,,
30,3,3,5,5,5,5,1,2,,
31,4,3,5,5,5,5,4,5,,
32,5,3,1,4,4,5,2,2,,
33,2,3,5,4,5,5,2,2,,
34,3,4,1,2,5,1,3,3,,
35,4,4,5,5,5,5,3,3,,
36,4,3,5,5,5,5,3,5,,
37,3,4,1,1,2,1,2,3,,
38,3,3,5,5,5,5,2,2,,
39,4,4,1,5,5,5,3,3,,
40,4,4,5,4,5,5,5,5,,
41,4,4,5,5,5,5,3,4,,
42,3,3,2,2,5,5,3,4,,
43,3,3,5,2,4,5,2,3,,
44,2,3,1,3,5,1,1,2,,
45,2,2,1,1,5,5,2,3,,
46,2,3,1,2,5,1,3,3,,
47,2,3,5,4,4,5,2,2,,
48,4,4,1,4,5,5,3,4,,
49,2,1,1,1,4,5,3,3,,
