,model,Appropriateness,Information content of outputs,Humanlikeness,round,group
0,blender23b,2.333333333,2.666666667,5,1,1
1,blender2400,3.111111111,3.111111111,4.111111111,1,1
2,blender3b,2,4.25,4.25,1,1
3,blender9b,3.8,3.2,5,1,1
4,dialogpt,2.857142857,2.714285714,4.714285714,1,1
5,gpt3,4.666666667,2.166666667,4.333333333,1,1
6,groundtruth,5,3.333333333,5,1,1
7,plato2,2.909090909,3.181818182,3.363636364,1,1
8,plato224L,3,4,4,1,1
9,plato232L,5,3,3,1,1
10,blender23b,2.666666667,2.333333333,5,1,1
11,blender2400,3,2.888888889,4.777777778,1,1
12,blender3b,3.5,4.5,5,1,1
13,blender9b,4.4,2.6,5,1,1
14,dialogpt,2.571428571,2.714285714,4.142857143,1,1
15,gpt3,4.5,2.166666667,4.5,1,1
16,groundtruth,5,3,5,1,1
17,plato2,3.545454545,2.727272727,3.909090909,1,1
18,plato224L,2,3,4,1,1
19,plato232L,5,5,5,1,1
20,blender23b,2.333333333,1,1.333333333,1,2
21,blender2400,2.777777778,2.333333333,2.111111111,1,2
22,blender3b,3.25,3.75,2.75,1,2
23,blender9b,4,3.2,3.6,1,2
24,dialogpt,3.285714286,2.714285714,3.285714286,1,2
25,gpt3,4.333333333,3,4.666666667,1,2
26,groundtruth,4.333333333,4.333333333,4.666666667,1,2
27,plato2,3.636363636,3.727272727,3.636363636,1,2
28,plato224L,3,3,3,1,2
29,plato232L,5,5,2,1,2
30,blender23b,3,2,2,1,2
31,blender2400,3.666666667,3.111111111,3.555555556,1,2
32,blender3b,3.5,3.5,3,1,2
33,blender9b,3.8,4,3.8,1,2
34,dialogpt,3,3,2.714285714,1,2
35,gpt3,4.166666667,3.833333333,4.333333333,1,2
36,groundtruth,4.666666667,4.666666667,4.666666667,1,2
37,plato2,3.363636364,3.454545455,3.545454545,1,2
38,plato224L,2,2,2,1,2
39,plato232L,5,5,5,1,2
40,blender23b,2.666666667,1.666666667,2.333333333,1,3
41,blender2400,2.888888889,3.111111111,2.111111111,1,3
42,blender3b,4.25,4.5,3.5,1,3
43,blender9b,3.8,4.2,4.2,1,3
44,dialogpt,3.428571429,3,3.285714286,1,3
45,gpt3,4.5,1.833333333,4.166666667,1,3
46,groundtruth,5,4,4.666666667,1,3
47,plato2,3.727272727,3.272727273,3.363636364,1,3
48,plato224L,1,4,1,1,3
49,plato232L,4,5,2,1,3
50,blender23b,1.666666667,1.333333333,2,1,3
51,blender2400,2.777777778,2.666666667,3,1,3
52,blender3b,2.5,2.25,2.75,1,3
53,blender9b,3.4,3.4,3.6,1,3
54,dialogpt,2.142857143,2.428571429,3.714285714,1,3
