,model,Appropriateness,Information content of outputs,Humanlikeness,round,group
0,blender23b,2.6666666666666665,2.6666666666666665,3.6666666666666665,1.0,1.0
1,blender2400,2.888888888888889,3.3333333333333335,3.5555555555555554,1.0,1.0
2,blender3b,2.25,4.0,3.0,1.0,1.0
3,blender9b,3.6,4.0,3.8,1.0,1.0
4,dialogpt,2.2857142857142856,3.5714285714285716,3.142857142857143,1.0,1.0
5,gpt3,4.5,2.8333333333333335,4.0,1.0,1.0
6,groundtruth,4.333333333333333,4.666666666666667,4.0,1.0,1.0
7,plato2,2.5454545454545454,4.2727272727272725,3.090909090909091,1.0,1.0
8,plato224L,4.0,5.0,2.0,1.0,1.0
9,plato232L,5.0,5.0,4.0,1.0,1.0
10,blender23b,2.6666666666666665,1.6666666666666667,5.0,1.0,1.0
11,blender2400,2.888888888888889,3.111111111111111,4.555555555555555,1.0,1.0
12,blender3b,2.75,4.5,4.75,1.0,1.0
13,blender9b,4.2,4.2,4.6,1.0,1.0
14,dialogpt,3.0,4.0,3.5714285714285716,1.0,1.0
15,gpt3,4.5,3.0,5.0,1.0,1.0
16,groundtruth,4.666666666666667,4.666666666666667,5.0,1.0,1.0
17,plato2,2.727272727272727,3.909090909090909,4.0,1.0,1.0
18,plato224L,2.0,5.0,2.0,1.0,1.0
19,plato232L,5.0,5.0,4.0,1.0,1.0
20,blender23b,2.6666666666666665,2.6666666666666665,5.0,1.0,2.0
21,blender2400,3.888888888888889,4.444444444444445,4.888888888888889,1.0,2.0
22,blender3b,3.75,4.5,5.0,1.0,2.0
23,blender9b,3.8,4.6,5.0,1.0,2.0
24,dialogpt,2.5714285714285716,3.7142857142857144,4.857142857142857,1.0,2.0
25,gpt3,4.5,4.5,4.666666666666667,1.0,2.0
26,groundtruth,4.666666666666667,4.666666666666667,4.666666666666667,1.0,2.0
27,plato2,3.727272727272727,4.181818181818182,4.7272727272727275,1.0,2.0
28,plato224L,2.0,4.0,4.0,1.0,2.0
29,plato232L,5.0,5.0,5.0,1.0,2.0
30,blender23b,2.6666666666666665,2.0,2.6666666666666665,1.0,2.0
31,blender2400,2.888888888888889,3.2222222222222223,4.222222222222222,1.0,2.0
32,blender3b,3.0,3.75,3.75,1.0,2.0
33,blender9b,4.0,4.0,4.0,1.0,2.0
34,dialogpt,3.142857142857143,2.2857142857142856,4.0,1.0,2.0
35,gpt3,4.5,2.1666666666666665,4.666666666666667,1.0,2.0
36,groundtruth,4.333333333333333,3.0,5.0,1.0,2.0
37,plato2,2.727272727272727,3.272727272727273,3.3636363636363638,1.0,2.0
38,plato224L,3.0,4.0,5.0,1.0,2.0
39,plato232L,5.0,4.0,4.0,1.0,2.0
40,blender23b,4.0,3.0,5.0,2.0,1.0
41,blender2400,3.2222222222222223,4.111111111111111,4.0,2.0,1.0
42,blender3b,2.0,5.0,3.0,2.0,1.0
43,blender9b,4.0,3.8,4.2,2.0,1.0
44,dialogpt,3.4285714285714284,4.285714285714286,3.4285714285714284,2.0,1.0
45,gpt3,4.5,3.6666666666666665,4.833333333333333,2.0,1.0
46,groundtruth,4.0,4.333333333333333,4.0,2.0,1.0
47,plato2,3.0,3.8181818181818183,4.181818181818182,2.0,1.0
48,plato224L,5.0,5.0,4.0,2.0,1.0
49,plato232L,5.0,5.0,5.0,2.0,1.0
50,blender23b,3.6666666666666665,3.0,5.0,2.0,1.0
51,blender2400,3.2222222222222223,4.333333333333333,4.777777777777778,2.0,1.0
52,blender3b,2.25,4.5,2.0,2.0,1.0
53,blender9b,3.6,3.8,4.2,2.0,1.0
54,dialogpt,3.0,3.857142857142857,3.857142857142857,2.0,1.0
55,gpt3,3.8333333333333335,3.6666666666666665,5.0,2.0,1.0
56,groundtruth,3.3333333333333335,3.6666666666666665,5.0,2.0,1.0
57,plato2,3.0,3.3636363636363638,3.272727272727273,2.0,1.0
58,plato224L,5.0,4.0,5.0,2.0,1.0
59,plato232L,5.0,5.0,5.0,2.0,1.0
60,blender23b,4.333333333333333,2.0,4.666666666666667,2.0,2.0
61,blender2400,3.4444444444444446,3.4444444444444446,4.777777777777778,2.0,2.0
62,blender3b,2.25,3.25,3.75,2.0,2.0
63,blender9b,3.8,2.6,4.2,2.0,2.0
64,dialogpt,4.0,3.5714285714285716,4.714285714285714,2.0,2.0
65,gpt3,3.0,2.8333333333333335,4.333333333333333,2.0,2.0
66,groundtruth,3.6666666666666665,2.6666666666666665,4.666666666666667,2.0,2.0
67,plato2,3.1818181818181817,3.1818181818181817,4.454545454545454,2.0,2.0
68,plato224L,4.0,4.0,4.0,2.0,2.0
69,plato232L,5.0,5.0,5.0,2.0,2.0
70,blender23b,3.6666666666666665,3.3333333333333335,3.3333333333333335,2.0,2.0
71,blender2400,3.5555555555555554,3.6666666666666665,3.888888888888889,2.0,2.0
72,blender3b,3.0,3.75,3.75,2.0,2.0
73,blender9b,2.6,2.8,3.0,2.0,2.0
74,dialogpt,4.142857142857143,4.0,4.0,2.0,2.0
75,gpt3,2.8333333333333335,2.5,3.3333333333333335,2.0,2.0
76,groundtruth,4.0,3.6666666666666665,4.666666666666667,2.0,2.0
77,plato2,3.727272727272727,3.727272727272727,3.8181818181818183,2.0,2.0
78,plato224L,5.0,5.0,5.0,2.0,2.0
79,plato232L,5.0,5.0,5.0,2.0,2.0
80,blender23b,4.333333333333333,3.0,5.0,3.0,1.0
81,blender2400,3.7777777777777777,4.222222222222222,4.111111111111111,3.0,1.0
82,blender3b,2.25,4.75,2.75,3.0,1.0
83,blender9b,4.0,3.6,4.0,3.0,1.0
84,dialogpt,3.5714285714285716,4.428571428571429,3.857142857142857,3.0,1.0
85,gpt3,4.0,3.8333333333333335,4.333333333333333,3.0,1.0
86,groundtruth,3.6666666666666665,4.0,4.333333333333333,3.0,1.0
87,plato2,3.727272727272727,3.727272727272727,3.727272727272727,3.0,1.0
88,plato224L,5.0,4.0,5.0,3.0,1.0
89,plato232L,5.0,5.0,5.0,3.0,1.0
90,blender23b,4.333333333333333,3.6666666666666665,5.0,3.0,1.0
91,blender2400,3.3333333333333335,4.666666666666667,4.222222222222222,3.0,1.0
92,blender3b,2.0,5.0,2.75,3.0,1.0
93,blender9b,3.4,3.8,4.2,3.0,1.0
94,dialogpt,3.4285714285714284,4.428571428571429,3.7142857142857144,3.0,1.0
95,gpt3,4.333333333333333,3.8333333333333335,4.5,3.0,1.0
96,groundtruth,4.0,4.666666666666667,4.0,3.0,1.0
97,plato2,3.1818181818181817,3.909090909090909,4.090909090909091,3.0,1.0
98,plato224L,5.0,5.0,4.0,3.0,1.0
99,plato232L,5.0,5.0,5.0,3.0,1.0
100,blender23b,4.333333333333333,2.6666666666666665,4.666666666666667,3.0,2.0
101,blender2400,3.6666666666666665,3.5555555555555554,4.888888888888889,3.0,2.0
102,blender3b,3.0,3.5,4.5,3.0,2.0
103,blender9b,2.8,3.0,4.2,3.0,2.0
104,dialogpt,4.0,4.142857142857143,4.428571428571429,3.0,2.0
105,gpt3,3.8333333333333335,3.3333333333333335,4.666666666666667,3.0,2.0
106,groundtruth,2.6666666666666665,2.6666666666666665,5.0,3.0,2.0
107,plato2,3.4545454545454546,3.4545454545454546,4.7272727272727275,3.0,2.0
108,plato224L,5.0,5.0,5.0,3.0,2.0
109,plato232L,5.0,5.0,5.0,3.0,2.0
110,blender23b,4.333333333333333,2.6666666666666665,4.666666666666667,3.0,2.0
111,blender2400,3.3333333333333335,4.0,4.666666666666667,3.0,2.0
112,blender3b,2.5,4.0,3.5,3.0,2.0
113,blender9b,4.0,3.6,4.0,3.0,2.0
114,dialogpt,3.7142857142857144,3.7142857142857144,4.285714285714286,3.0,2.0
115,gpt3,3.5,3.5,4.5,3.0,2.0
116,groundtruth,4.0,3.3333333333333335,4.666666666666667,3.0,2.0
117,plato2,3.3636363636363638,3.6363636363636362,3.909090909090909,3.0,2.0
118,plato224L,4.0,4.0,4.0,3.0,2.0
119,plato232L,5.0,5.0,5.0,3.0,2.0
120,blender23b,4.333333333333333,3.3333333333333335,5.0,4.0,1.0
121,blender2400,3.7777777777777777,4.222222222222222,4.333333333333333,4.0,1.0
122,blender3b,2.25,4.75,2.75,4.0,1.0
123,blender9b,3.4,3.8,4.2,4.0,1.0
124,dialogpt,3.5714285714285716,4.571428571428571,4.142857142857143,4.0,1.0
125,gpt3,4.333333333333333,4.0,4.333333333333333,4.0,1.0
126,groundtruth,4.0,4.666666666666667,4.333333333333333,4.0,1.0
127,plato2,3.3636363636363638,3.8181818181818183,3.8181818181818183,4.0,1.0
128,plato224L,5.0,4.0,5.0,4.0,1.0
129,plato232L,5.0,5.0,5.0,4.0,1.0
130,blender23b,4.333333333333333,3.6666666666666665,5.0,4.0,1.0
131,blender2400,3.2222222222222223,4.666666666666667,4.333333333333333,4.0,1.0
132,blender3b,2.25,5.0,2.75,4.0,1.0
133,blender9b,3.4,3.8,4.2,4.0,1.0
134,dialogpt,3.2857142857142856,4.571428571428571,3.7142857142857144,4.0,1.0
135,gpt3,4.166666666666667,4.166666666666667,4.333333333333333,4.0,1.0
136,groundtruth,4.333333333333333,4.666666666666667,4.333333333333333,4.0,1.0
137,plato2,3.4545454545454546,4.090909090909091,3.909090909090909,4.0,1.0
138,plato224L,5.0,5.0,4.0,4.0,1.0
139,plato232L,5.0,5.0,5.0,4.0,1.0
140,blender23b,4.666666666666667,2.0,5.0,4.0,2.0
141,blender2400,3.4444444444444446,3.4444444444444446,4.777777777777778,4.0,2.0
142,blender3b,3.0,3.75,4.5,4.0,2.0
143,blender9b,3.8,3.2,4.8,4.0,2.0
144,dialogpt,4.142857142857143,3.857142857142857,4.714285714285714,4.0,2.0
145,gpt3,4.0,3.0,4.666666666666667,4.0,2.0
146,groundtruth,3.6666666666666665,2.3333333333333335,5.0,4.0,2.0
147,plato2,3.3636363636363638,3.5454545454545454,4.636363636363637,4.0,2.0
148,plato224L,4.0,5.0,5.0,4.0,2.0
149,plato232L,5.0,5.0,5.0,4.0,2.0
150,blender23b,4.0,2.6666666666666665,4.333333333333333,4.0,2.0
151,blender2400,3.5555555555555554,3.4444444444444446,4.666666666666667,4.0,2.0
152,blender3b,2.25,3.75,3.75,4.0,2.0
153,blender9b,3.4,3.0,4.0,4.0,2.0
154,dialogpt,3.7142857142857144,3.4285714285714284,4.571428571428571,4.0,2.0
155,gpt3,3.3333333333333335,3.5,4.5,4.0,2.0
156,groundtruth,3.6666666666666665,3.0,5.0,4.0,2.0
157,plato2,3.5454545454545454,3.272727272727273,4.2727272727272725,4.0,2.0
158,plato224L,5.0,4.0,5.0,4.0,2.0
159,plato232L,5.0,4.0,5.0,4.0,2.0
160,blender23b,2.909090909090909,3.727272727272727,4.545454545454546,5.0,1.0
161,blender2400,2.6666666666666665,4.333333333333333,4.666666666666667,5.0,1.0
162,blender3b,3.0,5.0,4.8,5.0,1.0
163,blender9b,3.3333333333333335,5.0,4.666666666666667,5.0,1.0
164,dialogpt,3.125,4.125,4.375,5.0,1.0
165,gpt3,5.0,5.0,5.0,5.0,1.0
166,groundtruth,4.5,4.75,5.0,5.0,1.0
167,plato2,2.8,5.0,2.8,5.0,1.0
168,plato224L,2.5,5.0,4.0,5.0,1.0
169,plato232L,2.0,5.0,4.0,5.0,1.0
170,blender23b,2.5454545454545454,3.4545454545454546,4.545454545454546,5.0,1.0
171,blender2400,2.0,4.0,4.666666666666667,5.0,1.0
172,blender3b,2.8,5.0,4.4,5.0,1.0
173,blender9b,3.2222222222222223,4.666666666666667,4.444444444444445,5.0,1.0
174,dialogpt,3.25,3.5,4.75,5.0,1.0
175,gpt3,5.0,5.0,5.0,5.0,1.0
176,groundtruth,4.0,4.75,5.0,5.0,1.0
177,plato2,3.8,4.8,2.8,5.0,1.0
178,plato224L,4.5,5.0,3.0,5.0,1.0
179,plato232L,2.0,5.0,4.0,5.0,1.0
180,blender23b,2.3636363636363638,2.3636363636363638,4.181818181818182,5.0,2.0
181,blender2400,2.6666666666666665,3.0,4.333333333333333,5.0,2.0
182,blender3b,3.0,4.0,4.8,5.0,2.0
183,blender9b,3.4444444444444446,3.5555555555555554,4.555555555555555,5.0,2.0
184,dialogpt,2.875,2.0,3.75,5.0,2.0
185,gpt3,5.0,4.0,5.0,5.0,2.0
186,groundtruth,4.0,3.5,5.0,5.0,2.0
187,plato2,4.0,3.8,4.2,5.0,2.0
188,plato224L,3.0,3.5,3.5,5.0,2.0
189,plato232L,3.0,3.0,5.0,5.0,2.0
190,blender23b,3.272727272727273,2.909090909090909,4.454545454545454,5.0,2.0
191,blender2400,2.0,3.0,4.666666666666667,5.0,2.0
192,blender3b,2.6,4.4,4.8,5.0,2.0
193,blender9b,3.7777777777777777,4.222222222222222,4.777777777777778,5.0,2.0
194,dialogpt,3.125,2.375,4.75,5.0,2.0
195,gpt3,5.0,4.0,5.0,5.0,2.0
196,groundtruth,4.25,3.5,5.0,5.0,2.0
197,plato2,3.6,4.0,4.6,5.0,2.0
198,plato224L,3.5,4.5,4.5,5.0,2.0
199,plato232L,1.0,4.0,4.0,5.0,2.0
