group,model,Appropriateness,Information content of outputs,Humanlikeness,round
1.0,blender23b,3.578787878787879,3.118181818181818,4.775757575757575,3.0
1.0,blender2400,3.1,4.1,4.322222222222222,3.0
1.0,blender3b,2.38,4.75,3.2950000000000004,3.0
1.0,blender9b,3.615555555555556,4.046666666666667,4.251111111111111,3.0
1.0,dialogpt,3.194642857142857,4.133928571428571,3.855357142857143,3.0
1.0,gpt3,4.416666666666666,3.9,4.633333333333333,3.0
1.0,groundtruth,4.083333333333334,4.483333333333333,4.5,3.0
1.0,plato2,3.1599999999999997,4.070909090909091,3.569090909090909,3.0
1.0,plato224L,4.3,4.7,3.8,3.0
1.0,plato232L,4.4,5.0,4.6,3.0
2.0,blender23b,3.6303030303030304,2.5272727272727273,4.296969696969697,3.0
2.0,blender2400,3.2444444444444445,3.522222222222222,4.5777777777777775,3.0
2.0,blender3b,2.835,3.8649999999999998,4.21,3.0
2.0,blender9b,3.5422222222222226,3.4577777777777774,4.253333333333333,3.0
2.0,dialogpt,3.542857142857143,3.3089285714285714,4.407142857142857,3.0
2.0,gpt3,3.95,3.3333333333333335,4.533333333333333,3.0
2.0,groundtruth,3.8916666666666666,3.2333333333333334,4.866666666666667,3.0
2.0,plato2,3.469090909090909,3.607272727272727,4.270909090909091,3.0
2.0,plato224L,3.85,4.3,4.5,3.0
2.0,plato232L,4.4,4.5,4.8,3.0
